'Africa', 'Abidjan', '04:49 PM Mon - Nov 29 - 2021', ' GMT', '00.00',
'Africa', 'Accra', '04:49 PM Mon - Nov 29 - 2021', ' GMT', '00.00',
'Africa', 'Addis_Ababa', '07:49 PM Mon - Nov 29 - 2021', ' EAT', '+03.00',
'Africa', 'Algiers', '05:49 PM Mon - Nov 29 - 2021', ' CET', '+01.00',
'Africa', 'Asmera', '07:49 PM Mon - Nov 29 - 2021', ' EAT', '+03.00',
'Africa', 'Bamako', '04:49 PM Mon - Nov 29 - 2021', ' GMT', '00.00',
'Africa', 'Bangui', '05:49 PM Mon - Nov 29 - 2021', ' WAT', '+01.00',
'Africa', 'Banjul', '04:49 PM Mon - Nov 29 - 2021', ' GMT', '00.00',
'Africa', 'Bissau', '04:49 PM Mon - Nov 29 - 2021', ' GMT', '00.00',
'Africa', 'Blantyre', '06:49 PM Mon - Nov 29 - 2021', ' CAT', '+02.00',
'Africa', 'Brazzaville', '05:49 PM Mon - Nov 29 - 2021', ' WAT', '+01.00',
'Africa', 'Bujumbura', '06:49 PM Mon - Nov 29 - 2021', ' CAT', '+02.00',
'Africa', 'Cairo', '06:49 PM Mon - Nov 29 - 2021', ' EET', '+02.00',
'Africa', 'Casablanca', '04:49 PM Mon - Nov 29 - 2021', ' WET', '00.00',
'Africa', 'Conakry', '04:49 PM Mon - Nov 29 - 2021', ' GMT', '00.00',
'Africa', 'Dakar', '04:49 PM Mon - Nov 29 - 2021', ' GMT', '00.00',
'Africa', 'Dar_es_Salaam', '07:49 PM Mon - Nov 29 - 2021', ' EAT', '+03.00',
'Africa', 'Djibouti', '07:49 PM Mon - Nov 29 - 2021', ' EAT', '+03.00',
'Africa', 'El_Aaiun', '04:49 PM Mon - Nov 29 - 2021', ' WET', '00.00',
'Africa', 'Freetown', '04:49 PM Mon - Nov 29 - 2021', ' GMT', '00.00',
'Africa', 'Gaborone', '06:49 PM Mon - Nov 29 - 2021', ' CAT', '+02.00',
'Africa', 'Harare', '06:49 PM Mon - Nov 29 - 2021', ' CAT', '+02.00',
'Africa', 'Johannesburg', '06:49 PM Mon - Nov 29 - 2021', ' SAST', '+02.00',
'Africa', 'Kampala', '07:49 PM Mon - Nov 29 - 2021', ' EAT', '+03.00',
'Africa', 'Khartoum', '07:49 PM Mon - Nov 29 - 2021', ' EAT', '+03.00',
